Center: x=250, y=250
Radius: 200
Point 1: x=193.252, y=441.78
Point 2: x=174.984, y=435.398
Point 3: x=89.092, y=368.78
Point 4: x=259.896, y=50.245
Point 5: x=131.301, y=410.968
Point 6: x=444.949, y=294.665
Point 7: x=195.258, y=442.363
Point 8: x=418.714, y=357.403
Point 9: x=252.93, y=449.979
Point 10: x=411.547, y=132.091
Point 11: x=137.944, y=84.339
Point 12: x=264.965, y=449.439
Point 13: x=449.99, y=252.049
Point 14: x=437.678, y=319.116
Point 15: x=57.613, y=195.344
Point 16: x=440.375, y=188.703
Point 17: x=333.492, y=68.261
Point 18: x=76.314, y=349.163
Point 19: x=424.665, y=347.428
Point 20: x=329.285, y=66.387
Point 21: x=322.503, y=436.396
Point 22: x=51.058, y=229.452
Point 23: x=317.172, y=61.618
Point 24: x=307.013, y=58.299
Point 25: x=440.567, y=310.697
Point 26: x=216.34, y=52.853
Point 27: x=53.699, y=211.714
Point 28: x=229.629, y=51.04
Point 29: x=303.738, y=57.355
Point 30: x=78.178, y=147.642
Point 31: x=388.71, y=105.918
Point 32: x=53.915, y=289.379
Point 33: x=134.494, y=86.726
Point 34: x=329.483, y=433.528
Point 35: x=368.642, y=411.01
Point 36: x=362.305, y=415.492
Point 37: x=112.253, y=395.003
Point 38: x=324.093, y=435.769
Point 39: x=129.359, y=409.517
Point 40: x=216.185, y=447.121
Point 41: x=409.253, y=129.01
Point 42: x=109.317, y=107.844
Point 43: x=77.575, y=148.661
Point 44: x=180.022, y=62.642
Point 45: x=433.765, y=171.067
Point 46: x=356.737, y=419.137
Point 47: x=260.698, y=50.286
Point 48: x=50.347, y=261.78
Point 49: x=50.738, y=267.168
Point 50: x=87.771, y=133.032
Point 51: x=90.942, y=371.246
Point 52: x=415.032, y=362.979
Point 53: x=90.375, y=129.501
Point 54: x=63.959, y=176.591
Point 55: x=91.675, y=127.798
Point 56: x=411.556, y=132.103
Point 57: x=52.429, y=218.923
Point 58: x=313.675, y=60.407
Point 59: x=425.894, y=345.191
Point 60: x=248.639, y=449.995
Point 61: x=416.026, y=361.514
Point 62: x=72.617, y=157.614
Point 63: x=61.739, y=182.489
Point 64: x=129.757, y=409.818
Point 65: x=60.987, y=315.377
Point 66: x=55.108, y=294.913
Point 67: x=351.457, y=422.356
Point 68: x=139.487, y=83.306
Point 69: x=163.745, y=430.444
Point 70: x=432.63, y=168.475
Point 71: x=299.99, y=443.652
Point 72: x=62.492, y=319.575
Point 73: x=368.935, y=410.793
Point 74: x=345.245, y=74.135
